envP_inBunk,envT_inBunk,envRH_inBunk,gasT_in_102,gasT_out_105,gasRH_in_102,gasRH_out_105,IC(mC/cm2)_RE2,CURRENT_RE2-2_T1_S1_BARC-8_(9.9kV),CURRENT_RE2-2_T1_S2_BARC-9_(10kV),RATE_RE2-2_T1_S1_BARC-8_(9.9kV),RATE_RE2-2_T1_S2_BARC-9_(10kV),IC(mC/cm2)_RE4,CURRENT_RE4-2_CERN-165_(9.9kV),CURRENT_RE4-2_CERN-166_(9.9kV),RATE_RE4-2_CERN-165_(9.9kV),RATE_RE4-2_CERN-166_(9.9kV)
957.048,19.0111,42.2898,21.572,19.788,51.7275,61.0593,84.3168,0.0117987278,0.0162632206,638.05787765,938.390734888,7.63011,0.0112091697,0.0087131283,510.452466466,458.950352594
975.935,20.8423,42.7585,22.99,22.026,39.4512,74.3322,99.4273,0.01251662,0.0163527288,688.970888464,1036.80507611,13.0423,0.0130656795,0.0093542171,669.88280981,513.807280054
954.626,21.3211,41.4298,23.468,22.586,41.7162,75.6006,105.835,0.0124990875,0.0162517411,688.857077285,984.438724658,15.5833,0.0131998515,0.0095908881,670.93194726,535.052096565
968.913,21.8135,44.293,23.996,22.894,42.1692,76.5519,116.173,0.012752755,0.0160344586,712.742103923,962.905849077,19.5392,0.0136787654,0.0099227839,713.087250542,562.546284859
967.085,21.8788,38.8274,23.72,23.21,44.6607,73.5168,124.114,0.0126314267,0.0151338011,703.269916517,899.105138123,23.5504,0.0134628692,0.0093703693,693.269015068,524.634705096
963.332,21.6144,32.2843,23.386,22.624,57.9336,4.9779,135.507,0.0129165114,0.0156866659,718.742839808,951.277994264,28.8298,0.0131840114,0.0097014327,681.732009823,541.151333101
962.555,21.7983,45.8242,21.546,22.158,60.8328,53.2677,168.644,0.0155845707,0.0184290271,885.093334604,1095.1138769,46.8678,0.0150091023,0.0112654941,789.783507515,637.695094271
952.263,22.2177,43.8085,21.768,22.434,43.8,52.7241,204.104,0.0106852916,0.0133167673,621.591734856,818.292219355,60.7562,0.0127351302,0.0092761793,730.355162951,543.873773857
958.156,22.1475,47.3337,21.824,22.416,40.5837,52.8147,212.027,0.0143121769,0.0167159273,827.344952791,966.043152733,71.3498,0.0149656635,0.0108535251,787.479781044,642.170528682
965.136,21.6524,40.9842,21.668,21.852,31.3425,51.0933,241.4,0.0140871225,0.0154811839,549.720943667,607.345797843,87.9452,0.014213324,0.0098893332,513.391448917,386.970161773
963.948,21.4771,35.9417,22.418,21.958,55.3062,50.7762,272.188,0.0106502857,0.012040205,599.858694207,694.907841439,107.219,0.012758756,0.0082858368,721.675706686,484.53097088
967.485,21.4612,25.3964,22.46,21.95,49.5078,49.689,278.469,0.0107882881,0.0119294249,601.972158147,631.171397405,111.495,0.0128541292,0.0081143169,653.730632827,458.379978133
954.623,21.0541,25.7725,22.018,21.978,57.5259,49.1454,301.651,0.011092689,0.0119510349,585.583619031,624.808939111,126.111,0.0127150769,0.0078764545,647.569353934,426.993366976
962.958,20.8751,30.0308,21.694,21.702,59.8815,49.4625,306.2,0.0110979371,0.0117654157,593.200351102,599.016638181,129.677,0.012489551,0.0076972228,642.257067334,414.825262944
947.102,20.4769,31.2879,21.174,21.008,60.3798,48.8736,310,0.0107726364,0.0115668242,581.766571155,595.902051759,131,0.0120204945,0.0074438863,626.341932873,397.004474155
960.069,20.1207,35.9749,20.736,20.494,56.484,46.6992,317,0.0106359876,0.0114162398,567.002228132,584.298819594,138,0.0118723808,0.0072791037,602.094132893,387.502691005
